,活动名称,费用,主办方,时间
0,zighouse老洋房 剧本杀 桌游,88元(场地，饮用水，小食),非鱼乐,2021年10月01日 周五 13:00-22:00 ...
1,剧本杀@青柠,139.0元(人均),Nathan,10月16日 周六 13:00-18:00
2,欢乐剧本杀 戏精请就位,79元(单人票),K2社交圈,2021年10月09日 ~ 2021年10月17日 每天 13:30 - 17:30
3,周六周日固定桌游剧本杀及跑团活动--上海快乐桌游狼人杀人交友群,免费,姚笔记,"2021年10月02日 ~ 2021年12月26日 每周六,日 14:00 - 23:30"
4,我爱剧本杀，每周日下午组局,88元(活动费用),佳明,2021年10月10日 ~ 2021年10月31日 每周日 13:30 - 17:30
5,17个剧本等你来杀 3-6人剧本，深玩认识新朋友,79.0元(人均),朝花,09月19日 周日 14:00-18:00 ...
6,周二到周日绿色德州扑克，让你在娱乐和竞技中成为更好的自己,38.8元(平时)起,自然书咖屋,2021年09月16日 ~ 2021年12月12日 每天 15:30 - 21:00
7,《克苏鲁的呼唤CALL OF CTHULHU》欢迎新老玩家加入,免费,Uncle Young,2021年09月15日 周三 13:00-18:00 ...
8,听寒阁桌游 | 欢乐交友狼人杀,88.0元(人均),听寒,2021年08月28日 ~ 2021年11月20日 每周六 13:30 - 18:30
9,LetuClub桌游 | 欢乐交友阿瓦隆 狼人杀 剧本杀,29元(门票（2小时）)起,欢乐徒步游,"2021年09月04日 ~ 2021年11月28日 每周六,日 12:00 - 21:00"
